"","No","Prefecture","TradePrice","EstimateTradePrice.fit","EstimateTradePrice.lwr","EstimateTradePrice.upr"
"5",    10,"Hokkaido",1.4e+07, 9.890619e+06, 9.563724e+06, 1.021751e+07
"55",    91,"Hokkaido",2.9e+07, 2.220244e+07, 2.197931e+07, 2.242557e+07
"66",   105,"Hokkaido",3.8e+06, 5.144855e+06, 5.043724e+06, 5.245987e+06
"180",   244,"Hokkaido",3.5e+06, 6.617695e+06, 6.523259e+06, 6.712131e+06
"329",   434,"Hokkaido",1.7e+07, 6.970049e+06, 6.636313e+06, 7.303785e+06
"339",   448,"Hokkaido",6.2e+07, 3.428217e+07, 3.394662e+07, 3.461771e+07
"345",   456,"Hokkaido",8.0e+06, 5.089103e+06, 4.853070e+06, 5.325136e+06
"457",   639,"Hokkaido",4.0e+07, 2.974108e+07, 2.934252e+07, 3.013964e+07
"479",   677,"Hokkaido",3.4e+06, 6.296061e+06, 6.202653e+06, 6.389469e+06
"529",   745,"Hokkaido",3.0e+06, 9.362945e+06, 9.175166e+06, 9.550724e+06
"603",   852,"Hokkaido",1.3e+07, 9.512165e+06, 9.213045e+06, 9.811286e+06
"640",   894,"Hokkaido",8.0e+06, 1.845710e+07, 1.821468e+07, 1.869952e+07
"680",   942,"Hokkaido",1.1e+07, 1.301428e+07, 1.281575e+07, 1.321281e+07
"746",  1063,"Hokkaido",2.9e+07, 2.070501e+07, 2.027276e+07, 2.113726e+07
"762",  1082,"Hokkaido",2.6e+07, 2.077063e+07, 2.029544e+07, 2.124582e+07
"768",  1089,"Hokkaido",2.0e+07, 1.987164e+07, 1.934943e+07, 2.039386e+07
"769",  1090,"Hokkaido",2.6e+06, 8.556022e+06, 8.396330e+06, 8.715714e+06
"770",  1092,"Hokkaido",2.9e+07, 2.017755e+07, 1.989198e+07, 2.046313e+07
"796",  1129,"Hokkaido",2.8e+07, 2.501153e+07, 2.470938e+07, 2.531368e+07
"834",  1189,"Hokkaido",4.6e+06, 1.896198e+07, 1.862459e+07, 1.929937e+07
"839",  1199,"Hokkaido",3.1e+07, 2.900646e+07, 2.864523e+07, 2.936769e+07
"1030",  1447,"Hokkaido",1.5e+07, 1.896198e+07, 1.862459e+07, 1.929937e+07
"1035",  1455,"Hokkaido",3.3e+07, 2.634518e+07, 2.542094e+07, 2.726941e+07
"1067",  1503,"Hokkaido",2.1e+07, 1.844118e+07, 1.805528e+07, 1.882707e+07
"1081",  1538,"Hokkaido",8.4e+06, 8.576646e+06, 8.329353e+06, 8.823938e+06
"1135",  1608,"Hokkaido",8.0e+06, 1.206201e+07, 1.184106e+07, 1.228295e+07
"1163",  1643,"Hokkaido",9.0e+06, 1.366536e+07, 1.346057e+07, 1.387015e+07
"1328",  1860,"Hokkaido",1.1e+07, 9.064418e+06, 8.883344e+06, 9.245492e+06
"1330",  1862,"Hokkaido",4.5e+06, 7.686717e+06, 7.593461e+06, 7.779974e+06
"1359",  1903,"Hokkaido",2.6e+07, 2.019887e+07, 1.989583e+07, 2.050191e+07
"1376",  1932,"Hokkaido",4.4e+06, 6.177281e+06, 6.083881e+06, 6.270680e+06
"1417",  1990,"Hokkaido",2.0e+07, 1.090670e+07, 1.050386e+07, 1.130954e+07
"1420",  1995,"Hokkaido",2.4e+07, 2.210670e+07, 2.172081e+07, 2.249259e+07
"1472",  2069,"Hokkaido",6.8e+06, 9.799416e+06, 9.385218e+06, 1.021361e+07
"1611",  2251,"Hokkaido",1.7e+07, 6.224797e+06, 5.977355e+06, 6.472239e+06
"1613",  2253,"Hokkaido",2.5e+07, 2.748687e+07, 2.722503e+07, 2.774871e+07
"1641",  2292,"Hokkaido",7.0e+06, 8.791057e+06, 8.534698e+06, 9.047416e+06
"1651",  2306,"Hokkaido",2.3e+07, 2.435330e+07, 2.403403e+07, 2.467257e+07
"1652",  2307,"Hokkaido",4.5e+06, 1.003162e+07, 9.794661e+06, 1.026859e+07
"1658",  2315,"Hokkaido",2.7e+07, 2.180285e+07, 2.137262e+07, 2.223307e+07
"1661",  2319,"Hokkaido",2.2e+07, 1.972400e+07, 1.933680e+07, 2.011121e+07
"1746",  2442,"Hokkaido",3.5e+07, 2.075707e+07, 2.029799e+07, 2.121615e+07
"1777",  2479,"Hokkaido",1.4e+07, 1.773515e+07, 1.747712e+07, 1.799318e+07
"1778",  2480,"Hokkaido",1.1e+07, 1.337650e+07, 1.292760e+07, 1.382540e+07
"1801",  2509,"Hokkaido",2.2e+07, 2.468183e+07, 2.433436e+07, 2.502930e+07
"1805",  2513,"Hokkaido",1.4e+06, 1.769325e+07, 1.741351e+07, 1.797299e+07
"1836",  2553,"Hokkaido",2.9e+07, 2.702082e+07, 2.660121e+07, 2.744044e+07
"1878",  2609,"Hokkaido",4.0e+07, 1.961792e+07, 1.927653e+07, 1.995932e+07
"1939",  2688,"Hokkaido",2.1e+07, 2.435330e+07, 2.403403e+07, 2.467257e+07
"1953",  2715,"Hokkaido",1.7e+07, 1.882924e+07, 1.846686e+07, 1.919162e+07
"1965",  2734,"Hokkaido",4.5e+07, 3.205223e+07, 3.161565e+07, 3.248880e+07
"2095",  2952,"Hokkaido",6.6e+07,-1.313485e+08,-1.362151e+08,-1.264820e+08
"2101",  2958,"Hokkaido",4.2e+07, 2.722224e+07, 2.611983e+07, 2.832466e+07
"2134",  3011,"Hokkaido",3.0e+07, 1.709192e+07, 1.679193e+07, 1.739191e+07
"2144",  3029,"Hokkaido",1.9e+07, 1.961428e+06, 1.282380e+06, 2.640477e+06
"2159",  3055,"Hokkaido",7.8e+06, 7.012403e+06, 6.783190e+06, 7.241617e+06
"2171",  3072,"Hokkaido",9.0e+06, 1.455898e+07, 1.424191e+07, 1.487604e+07
"2328",  3327,"Hokkaido",3.5e+07, 3.477910e+07, 3.442615e+07, 3.513205e+07
"2336",  3338,"Hokkaido",2.5e+07, 2.558559e+07, 2.522794e+07, 2.594323e+07
"2357",  3371,"Hokkaido",3.2e+06, 5.108258e+06, 5.014412e+06, 5.202105e+06
"2366",  3384,"Hokkaido",7.0e+06, 1.344849e+07, 1.322504e+07, 1.367194e+07
"2389",  3428,"Hokkaido",2.8e+07, 2.799298e+07, 2.765325e+07, 2.833270e+07
"2403",  3451,"Hokkaido",7.5e+06, 7.012403e+06, 6.783190e+06, 7.241617e+06
"2433",  3496,"Hokkaido",1.0e+06, 6.741575e+06, 6.569897e+06, 6.913253e+06
"2441",  3507,"Hokkaido",2.3e+07, 2.585493e+07, 2.551799e+07, 2.619187e+07
"2488",  3598,"Hokkaido",1.8e+07, 2.285104e+07, 2.253420e+07, 2.316787e+07
"2491",  3603,"Hokkaido",9.6e+06, 1.174283e+07, 1.149003e+07, 1.199562e+07
"2495",  3612,"Hokkaido",7.8e+06, 5.711378e+06, 5.512321e+06, 5.910435e+06
"2571",  3729,"Hokkaido",6.8e+06, 8.865780e+06, 8.716436e+06, 9.015124e+06
"2615",  3780,"Hokkaido",3.3e+07, 3.208359e+07, 3.178340e+07, 3.238378e+07
"2643",  3823,"Hokkaido",6.5e+06, 1.285694e+07, 1.266832e+07, 1.304556e+07
"2648",  3833,"Hokkaido",3.8e+06, 5.627341e+06, 5.527520e+06, 5.727162e+06
"2746",  3979,"Hokkaido",8.8e+06, 9.307229e+06, 9.138932e+06, 9.475525e+06
"2783",  4028,"Hokkaido",2.7e+07, 3.004035e+07, 2.966421e+07, 3.041649e+07
"2786",  4031,"Hokkaido",1.9e+07, 3.121395e+07, 3.089814e+07, 3.152975e+07
"2818",  4076,"Hokkaido",3.3e+07, 2.456021e+07, 2.406161e+07, 2.505882e+07
"2863",  4150,"Hokkaido",3.8e+06, 4.924578e+06, 4.796110e+06, 5.053047e+06
"2970",  4329,"Hokkaido",1.4e+06, 2.582985e+06, 2.525986e+06, 2.639984e+06
"2996",  4370,"Hokkaido",1.2e+07, 1.237902e+07, 1.214801e+07, 1.261003e+07
"3023",  4416,"Hokkaido",4.4e+06, 1.027401e+07, 1.003182e+07, 1.051621e+07
"3068",  4488,"Hokkaido",2.1e+07, 1.367095e+07, 1.315258e+07, 1.418932e+07
"3080",  4502,"Hokkaido",1.0e+06, 2.582985e+06, 2.525986e+06, 2.639984e+06
"3102",  4531,"Hokkaido",1.0e+07, 2.472718e+07, 2.442034e+07, 2.503403e+07
"3143",  4622,"Hokkaido",1.2e+07, 9.361202e+06, 9.104934e+06, 9.617470e+06
"3151",  4633,"Hokkaido",1.6e+07, 1.801707e+07, 1.771649e+07, 1.831764e+07
"3179",  4675,"Hokkaido",3.4e+07, 2.122498e+07, 2.069690e+07, 2.175306e+07
"3207",  4714,"Hokkaido",2.2e+07, 2.344754e+07, 2.309086e+07, 2.380422e+07
"3222",  4732,"Hokkaido",8.6e+05, 2.582985e+06, 2.525986e+06, 2.639984e+06
"3230",  4741,"Hokkaido",2.4e+07, 1.941215e+07, 1.900483e+07, 1.981947e+07
"3232",  4743,"Hokkaido",1.9e+07, 1.336554e+07, 1.309709e+07, 1.363398e+07
"3246",  4767,"Hokkaido",4.5e+06, 1.082662e+07, 1.058124e+07, 1.107200e+07
"3265",  4801,"Hokkaido",7.5e+06, 1.428066e+07, 1.401946e+07, 1.454187e+07
"7117", 10211,"Hokkaido",3.0e+07, 2.536787e+07, 2.506514e+07, 2.567060e+07
"7245", 10392,"Hokkaido",1.2e+06, 2.563838e+06, 2.504561e+06, 2.623116e+06
"7277", 10445,"Hokkaido",4.1e+07, 1.291602e+07, 1.123710e+07, 1.459494e+07
"7278", 10446,"Hokkaido",9.5e+06, 1.266833e+07, 1.237419e+07, 1.296247e+07
"7280", 10449,"Hokkaido",1.8e+07, 2.519029e+07, 2.486332e+07, 2.551725e+07
"7432", 10748,"Hokkaido",2.9e+07, 2.485848e+07, 2.434017e+07, 2.537679e+07
"7532", 10925,"Hokkaido",2.1e+07, 1.639048e+07, 1.611928e+07, 1.666168e+07
"7571", 10985,"Hokkaido",3.2e+07, 2.501766e+07, 2.432876e+07, 2.570656e+07
"7644", 11086,"Hokkaido",2.5e+06, 2.627534e+06, 2.537355e+06, 2.717712e+06
"7679", 11136,"Hokkaido",1.1e+07, 3.097256e+06, 2.419209e+06, 3.775302e+06
"7680", 11137,"Hokkaido",1.0e+07, 1.547744e+07, 1.512481e+07, 1.583007e+07
"7690", 11154,"Hokkaido",1.8e+07, 5.633031e+06, 4.857726e+06, 6.408336e+06
"7699", 11163,"Hokkaido",2.8e+07, 3.326102e+07, 3.213521e+07, 3.438684e+07
"7771", 11258,"Hokkaido",2.8e+06, 4.735803e+06, 4.634798e+06, 4.836808e+06
"7782", 11269,"Hokkaido",2.0e+06, 2.735450e+06, 2.649544e+06, 2.821355e+06
"7785", 11274,"Hokkaido",2.5e+06, 4.735803e+06, 4.634798e+06, 4.836808e+06
"7787", 11276,"Hokkaido",1.8e+07, 1.063440e+07, 1.030776e+07, 1.096104e+07
"7859", 11391,"Hokkaido",5.8e+07, 6.313533e+07, 6.048675e+07, 6.578391e+07
"7860", 11393,"Hokkaido",4.6e+07, 1.680076e+07, 1.545877e+07, 1.814274e+07
"7861", 11395,"Hokkaido",3.0e+07,-9.639525e+06,-1.039544e+07,-8.883607e+06
"7936", 11514,"Hokkaido",3.8e+07, 3.456523e+07, 3.376022e+07, 3.537023e+07
"7964", 11557,"Hokkaido",2.9e+07, 2.966035e+07, 2.893512e+07, 3.038558e+07
"7971", 11565,"Hokkaido",1.9e+07, 2.040031e+07, 2.015482e+07, 2.064580e+07
"7987", 11589,"Hokkaido",3.5e+07, 3.701224e+07, 3.633926e+07, 3.768523e+07
"8042", 11676,"Hokkaido",3.3e+07, 3.803480e+07, 3.718043e+07, 3.888917e+07
"8062", 11708,"Hokkaido",3.0e+06, 3.489312e+06, 3.404714e+06, 3.573910e+06
"8106", 11771,"Hokkaido",9.0e+06, 1.620963e+07, 1.584142e+07, 1.657784e+07
"8113", 11782,"Hokkaido",9.5e+06, 1.392764e+07, 1.335218e+07, 1.450310e+07
"8150", 11846,"Hokkaido",2.3e+07, 2.795422e+07, 2.741011e+07, 2.849834e+07
"8176", 11886,"Hokkaido",5.0e+06, 8.890679e+06, 8.634434e+06, 9.146924e+06
"8182", 11894,"Hokkaido",6.0e+06, 7.584874e+06, 7.367833e+06, 7.801916e+06
"8198", 11914,"Hokkaido",1.0e+06, 8.890679e+06, 8.634434e+06, 9.146924e+06
"8204", 11925,"Hokkaido",1.9e+07, 1.640392e+07, 1.615578e+07, 1.665206e+07
"8249", 12009,"Hokkaido",1.2e+07, 1.169796e+07, 1.139542e+07, 1.200050e+07
"8257", 12021,"Hokkaido",1.7e+07, 1.787949e+07, 1.746824e+07, 1.829074e+07
"8421", 12251,"Hokkaido",3.6e+07, 1.990667e+07, 1.949480e+07, 2.031853e+07
"8431", 12269,"Hokkaido",5.0e+06, 1.319356e+07, 1.291894e+07, 1.346818e+07
"8474", 12332,"Hokkaido",3.8e+06, 5.498155e+06, 5.299118e+06, 5.697193e+06
"8480", 12341,"Hokkaido",3.6e+07, 2.985158e+07, 2.877793e+07, 3.092522e+07
"8489", 12357,"Hokkaido",1.1e+07, 7.144924e+06, 6.872727e+06, 7.417122e+06
"8557", 12516,"Hokkaido",1.4e+07, 2.536213e+07, 2.489022e+07, 2.583404e+07
"8559", 12519,"Hokkaido",1.6e+07, 1.752751e+07, 1.672180e+07, 1.833322e+07
"8654", 12685,"Hokkaido",6.8e+06, 8.240595e+06, 8.003947e+06, 8.477243e+06
"8680", 12725,"Hokkaido",6.8e+06,-1.041193e+07,-1.099293e+07,-9.830938e+06
"8753", 12868,"Hokkaido",3.8e+07, 4.214052e+07, 4.122167e+07, 4.305936e+07
"8809", 12970,"Hokkaido",5.0e+05, 1.169796e+07, 1.139542e+07, 1.200050e+07
"8820", 12996,"Hokkaido",2.3e+07, 3.770303e+07, 3.692584e+07, 3.848022e+07
"8929", 13202,"Hokkaido",1.5e+07, 1.300006e+07, 1.267983e+07, 1.332029e+07
"8972", 13260,"Hokkaido",2.3e+07, 2.412587e+07, 2.356899e+07, 2.468275e+07
"9008", 13336,"Hokkaido",8.0e+06,-1.147549e+07,-1.210353e+07,-1.084746e+07
"9010", 13340,"Hokkaido",2.8e+07, 2.395696e+07, 2.357931e+07, 2.433461e+07
"9117", 13568,"Hokkaido",5.4e+06, 6.654783e+06, 5.636345e+06, 7.673221e+06
"9156", 13624,"Hokkaido",9.0e+06,-1.596829e+06,-2.181621e+06,-1.012037e+06
"9171", 13668,"Hokkaido",1.5e+07, 2.548264e+07, 2.470233e+07, 2.626294e+07
"9202", 13714,"Hokkaido",8.0e+06, 1.507957e+07, 1.473493e+07, 1.542421e+07
"9203", 13715,"Hokkaido",2.3e+07, 2.949762e+07, 2.856458e+07, 3.043067e+07
"9230", 13754,"Hokkaido",3.9e+07, 2.838523e+07, 2.777599e+07, 2.899448e+07
"9332", 13922,"Hokkaido",1.9e+07, 2.499652e+07, 2.463975e+07, 2.535328e+07
"9349", 13946,"Hokkaido",1.8e+07, 1.489687e+07, 1.430524e+07, 1.548850e+07
"9416", 14035,"Hokkaido",2.9e+07, 2.547294e+07, 2.507078e+07, 2.587510e+07
"9420", 14040,"Hokkaido",1.0e+07,-1.544901e+07,-1.608810e+07,-1.480991e+07
"9432", 14055,"Hokkaido",8.4e+06, 1.752837e+07, 1.723087e+07, 1.782588e+07
"9496", 14143,"Hokkaido",5.8e+06, 2.678681e+06, 1.536997e+06, 3.820365e+06
"9501", 14148,"Hokkaido",8.2e+06, 8.605120e+06, 7.868617e+06, 9.341623e+06
"9552", 14231,"Hokkaido",6.9e+06, 1.392161e+07, 1.363433e+07, 1.420889e+07
"9617", 14351,"Hokkaido",8.3e+06, 1.731316e+07, 1.674759e+07, 1.787874e+07
"9687", 14473,"Hokkaido",3.1e+06, 2.722558e+06, 2.632396e+06, 2.812720e+06
"9717", 14534,"Hokkaido",1.3e+07, 9.544838e+06, 9.026478e+06, 1.006320e+07
